location,state,latitude,longitude,date,rainfall_mm,prev_24h_rainfall_mm,prev_48h_rainfall_mm,river_level_m,soil_moisture_percent,terrain_elevation_m,distance_to_river_km,drainage_capacity_percent,historical_flood_count,population_density,urban_area_percent,water_depth_m,population_affected,economic_loss_million,severity_level,risk_score
Ranchi,Jharkhand,23.260452,85.384316,2025-04-10,58.37,33.97,48.79,3.63,39.67,87.87,2.85,77.04,4,535,76.87,0.69,55,0.11,Low,16.89
Jaipur,Rajasthan,26.970234,75.786988,2023-04-21,58.36,45.96,59.58,6.71,11.6,172.97,4.6,27.25,1,319,45.51,1.0,82,0.24,Low,22.23
Kota,Rajasthan,25.267699,75.802209,2023-04-28,87.33,30.86,44.44,5.33,47.34,143.04,1.41,49.95,3,342,42.71,0.55,159,0.16,Low,34.46
Dhanbad,Jharkhand,23.708999,86.478624,2025-07-06,53.89,30.8,39.19,6.1,35.94,117.95,0.54,67.05,6,26,89.11,0.9,3,0.01,Low,28.33
Srinagar,Jammu and Kashmir,34.090392,74.876079,2024-02-24,82.72,49.59,70.95,7.8,33.02,58.78,1.36,50.37,4,18555,47.9,1.38,5042,15.0,Medium,40.59
Madurai,Tamil Nadu,9.85587,78.137046,2025-08-15,223.36,79.77,100.97,7.41,76.72,134.71,0.14,65.69,3,46,76.48,7.65,51,1.82,Critical,79.64
Madurai,Tamil Nadu,9.831769,78.20235,2023-07-01,52.92,27.87,36.5,5.57,41.85,67.15,10.0,56.93,2,1478,95.44,0.54,195,0.18,Low,27.41
Rajkot,Gujarat,22.219001,70.852849,2025-02-16,128.16,63.9,87.36,2.71,37.9,77.71,0.53,71.6,1,2918,90.19,0.42,413,0.23,Low,34.05
Thiruvananthapuram,Kerala,8.593726,76.861155,2025-07-03,22.91,9.95,13.1,9.27,16.42,200.39,1.96,81.07,4,32627,72.47,0.38,4493,8.51,Low,20.33
Rajkot,Gujarat,22.238236,70.756661,2023-03-16,86.06,29.7,41.84,8.71,30.42,263.41,0.3,45.59,5,175,71.16,1.02,45,0.18,Low,27.68
Jabalpur,Madhya Pradesh,23.194781,79.98161,2024-09-14,21.15,13.65,17.86,3.47,26.56,56.02,0.87,74.68,1,26969,87.59,1.15,8128,37.86,Low,12.87
Allahabad,Uttar Pradesh,25.474255,81.916139,2024-06-20,93.81,69.65,91.39,6.24,39.92,25.86,0.26,87.02,2,805,72.54,1.49,476,2.23,Medium,35.41
Ranchi,Jharkhand,23.307851,85.334778,2023-01-16,16.37,10.77,14.39,3.96,18.9,27.82,0.15,90.87,1,35435,95.57,1.1,1575,4.45,Low,17.77
Chennai,Tamil Nadu,13.026351,80.360692,2023-03-02,66.2,27.02,35.32,4.8,41.55,97.47,2.72,71.85,2,477,65.44,0.68,64,0.13,Low,32.97
Bhopal,Madhya Pradesh,23.190679,77.475767,2025-09-24,107.57,67.88,89.43,0.44,35.47,81.35,0.07,71.6,1,684,60.94,2.05,394,1.6,Medium,40.64
Solapur,Maharashtra,17.701573,75.973803,2023-12-11,81.77,58.0,66.78,4.41,46.76,77.37,3.43,67.43,2,667,72.48,0.12,161,0.05,Low,29.83
Indore,Madhya Pradesh,22.806006,75.778202,2023-07-15,44.1,15.48,22.32,4.6,21.87,80.68,3.83,89.49,2,352,80.83,1.01,68,0.28,Low,17.27
Visakhapatnam,Andhra Pradesh,17.717702,83.173152,2025-04-28,33.74,26.45,31.05,0.25,36.17,152.09,4.05,41.58,1,28368,53.31,0.1,6979,1.41,Low,3.62
Surat,Gujarat,21.110305,72.829419,2025-04-10,135.26,104.23,117.68,5.84,66.68,60.87,7.35,53.08,4,574,82.71,2.3,138,0.77,Medium,43.34
Gwalior,Madhya Pradesh,26.144843,78.196308,2024-11-16,35.95,22.48,29.03,4.82,29.3,154.05,1.9,69.55,6,343,48.36,0.46,80,0.17,Low,18.16
Varanasi,Uttar Pradesh,25.317239,82.984973,2025-07-02,59.5,41.44,56.44,3.42,30.14,43.29,1.08,74.95,6,50000,54.85,0.41,6928,8.18,Low,31.92
Guwahati,Assam,26.191123,91.662514,2024-06-03,25.71,12.81,15.31,11.25,0.0,110.24,1.15,74.76,2,190,53.74,1.07,27,0.08,Low,26.35
Kanpur,Uttar Pradesh,26.515677,80.318078,2023-10-03,75.49,40.76,56.02,0.22,40.14,7.29,2.44,76.9,0,92,55.17,0.46,31,0.03,Low,24.17
Madurai,Tamil Nadu,9.922969,78.153173,2025-05-01,124.09,90.98,136.23,4.86,50.82,41.22,0.53,60.52,5,5874,82.0,0.95,1403,4.82,Medium,53.52
Howrah,West Bengal,22.561207,88.297119,2024-03-29,36.96,28.67,41.26,3.6,12.7,37.72,0.8,54.1,4,101,76.29,1.0,5,0.02,Low,24.14
Indore,Madhya Pradesh,22.726321,75.879281,2025-08-01,188.54,65.01,90.17,8.93,55.0,194.2,0.15,56.64,2,2761,87.13,3.95,2989,17.64,High,60.0
Raipur,Chhattisgarh,21.187688,81.634633,2024-08-05,123.94,82.54,118.9,3.84,36.56,74.0,0.94,43.32,4,4815,92.64,2.18,2251,13.21,Medium,38.71
Bangalore,Karnataka,12.905203,77.641975,2023-08-14,99.82,43.17,58.62,2.11,32.96,48.34,0.59,49.77,5,8823,57.26,0.54,1176,2.21,Low,30.96
Nagpur,Maharashtra,21.149612,79.001723,2024-05-31,67.34,47.87,52.68,2.42,22.51,140.17,0.42,69.45,3,1367,81.22,1.18,224,0.39,Low,22.01
Jabalpur,Madhya Pradesh,23.085505,80.033836,2023-09-05,34.72,19.37,28.43,5.11,28.87,64.93,3.5,55.3,2,1305,91.27,1.19,255,1.43,Low,16.97
Jodhpur,Rajasthan,26.246847,73.04989,2023-06-07,14.09,6.82,7.68,4.54,17.75,68.99,0.38,24.62,4,17683,98.84,0.25,5874,7.1,Low,18.26
Varanasi,Uttar Pradesh,25.336458,83.06119,2024-06-15,83.17,27.54,35.91,4.16,51.94,189.36,0.13,55.56,1,558,81.14,2.18,252,1.92,Medium,39.97
Howrah,West Bengal,22.581017,88.189742,2024-09-19,196.82,63.24,78.96,1.93,58.62,113.35,0.29,53.03,2,16904,61.79,1.9,6413,19.44,Medium,46.66
Chennai,Tamil Nadu,13.155632,80.219396,2024-08-16,11.91,7.62,8.51,2.72,24.45,180.96,0.59,16.28,3,326,59.2,0.89,14,0.01,Low,9.85
Bangalore,Karnataka,12.973316,77.572119,2025-07-15,40.92,13.14,19.54,0.9,23.82,102.93,0.62,33.52,2,241,76.61,0.42,85,0.12,Low,16.99
Vasai,Maharashtra,19.465354,72.8287,2023-08-14,63.42,50.25,74.12,1.19,13.02,30.48,0.26,67.4,6,2927,90.79,0.28,360,0.43,Low,25.43
Vasai,Maharashtra,19.458879,72.735535,2023-02-13,107.25,43.12,57.0,15.65,47.11,13.52,4.13,66.6,0,5749,67.55,3.23,2371,31.69,High,62.33
Amritsar,Punjab,31.535046,74.924498,2024-07-19,45.15,29.87,34.11,7.33,27.97,189.72,0.27,92.2,2,498,53.88,0.87,38,0.11,Low,23.25
Kochi,Kerala,9.885164,76.33231,2025-03-27,68.11,27.34,36.26,4.52,34.44,199.32,0.26,33.75,4,966,79.18,0.28,260,0.25,Low,34.8
Hyderabad,Telangana,17.388616,78.446445,2025-01-26,131.03,40.19,48.75,4.22,32.2,93.84,0.1,64.34,1,1468,85.76,0.86,392,1.4,Medium,38.45
Jaipur,Rajasthan,26.86679,75.83918,2024-09-09,58.71,46.36,53.69,6.25,26.85,10.23,2.96,58.91,2,184,69.95,0.31,22,0.03,Low,32.25
Kanpur,Uttar Pradesh,26.419801,80.254719,2023-06-27,53.78,36.28,44.13,10.47,31.11,55.44,3.14,67.58,2,3304,74.02,0.99,1582,6.54,Medium,41.87
Hubli,Karnataka,15.304973,75.075724,2024-06-15,185.29,64.24,82.0,6.3,48.68,55.17,1.64,24.15,2,50000,49.13,1.12,9333,42.03,Medium,51.96
Allahabad,Uttar Pradesh,25.462716,81.905883,2024-07-12,6.66,3.07,4.61,5.4,34.31,378.97,0.9,73.89,4,7248,68.98,0.82,859,0.97,Low,20.8
Chennai,Tamil Nadu,13.126571,80.348752,2024-01-17,95.25,66.97,96.27,4.37,46.37,30.27,4.24,57.02,4,599,30.82,0.13,88,0.03,Low,28.54
Meerut,Uttar Pradesh,29.020834,77.639826,2024-10-21,112.32,55.06,82.08,3.5,61.85,34.0,0.72,37.98,4,4166,94.12,1.52,845,5.99,Medium,46.11
Thiruvananthapuram,Kerala,8.449591,76.978138,2024-09-13,89.99,65.34,89.33,6.01,32.73,133.55,2.43,59.91,3,545,90.36,1.08,33,0.07,Low,24.93
Hubli,Karnataka,15.321758,75.109837,2025-02-17,49.17,30.78,45.57,4.18,36.25,133.02,0.76,80.38,5,17108,62.77,0.92,3849,4.54,Low,21.01
Agra,Uttar Pradesh,27.077284,77.916053,2023-09-19,69.69,38.59,55.94,0.14,27.24,70.79,0.49,67.34,4,243,85.5,0.87,47,0.09,Low,26.94
Mumbai,Maharashtra,19.053974,72.923672,2024-08-06,93.81,45.12,60.35,5.28,40.23,236.73,0.97,85.27,2,593,80.08,0.8,200,0.72,Low,26.1
Visakhapatnam,Andhra Pradesh,17.714375,83.266696,2024-08-27,82.89,58.95,85.07,0.89,30.12,403.3,0.26,33.37,4,193,88.4,0.57,30,0.04,Low,24.17
Amritsar,Punjab,31.612595,74.877463,2023-10-17,68.22,37.03,41.14,0.8,29.34,86.57,0.83,88.9,2,218,69.17,1.16,18,0.02,Low,27.05
Faridabad,Haryana,28.340905,77.22247,2025-04-06,78.03,43.21,59.23,0.5,21.07,26.76,0.18,37.32,4,4076,59.87,1.01,538,1.82,Low,27.35
Dhanbad,Jharkhand,23.725804,86.493751,2025-09-22,129.2,48.37,62.16,10.31,41.36,25.13,1.29,30.38,3,531,67.04,2.97,610,4.53,High,64.81
Howrah,West Bengal,22.600289,88.276142,2024-02-11,63.22,30.31,43.09,4.07,44.58,63.42,1.7,78.13,5,50000,82.97,0.33,7394,12.24,Low,32.79
Pune,Maharashtra,18.61933,73.774662,2024-06-25,101.64,78.66,88.8,7.11,44.54,50.58,2.15,61.74,1,41,69.97,1.69,9,0.05,Medium,52.55
Jodhpur,Rajasthan,26.187346,73.019952,2023-11-18,65.84,42.22,50.53,0.56,41.9,48.93,1.04,46.01,5,1114,57.84,1.0,322,1.0,Low,34.14
Nagpur,Maharashtra,21.229158,79.132331,2023-01-12,157.34,77.7,105.13,3.01,45.21,84.33,2.46,29.46,5,697,76.17,0.81,198,0.59,Medium,48.04
Srinagar,Jammu and Kashmir,34.039388,74.72322,2024-03-27,54.71,29.33,42.59,2.21,26.56,92.69,6.28,10.6,2,442,87.66,0.85,76,0.1,Low,14.16
Ahmedabad,Gujarat,22.947645,72.618819,2023-11-22,106.04,53.25,69.88,9.44,37.92,128.65,0.12,80.11,0,51,65.37,0.82,27,0.07,Medium,46.95
Howrah,West Bengal,22.648262,88.254584,2025-02-22,40.51,21.43,26.98,5.02,25.72,96.37,0.04,83.97,1,7921,54.9,0.17,716,0.36,Low,21.03
Indore,Madhya Pradesh,22.631543,75.892028,2024-05-30,92.56,68.96,95.38,4.54,36.45,48.02,0.44,82.64,3,105,83.0,0.26,7,0.01,Low,31.62
Srinagar,Jammu and Kashmir,34.175287,74.803232,2023-01-15,105.09,43.04,55.25,6.56,27.94,96.33,1.65,41.84,3,239,76.99,1.1,44,0.05,Medium,44.19
Raipur,Chhattisgarh,21.309919,81.71118,2023-12-20,45.61,19.47,23.34,10.83,25.95,44.57,1.23,69.5,4,9039,61.09,1.08,842,1.47,Low,34.03
Faridabad,Haryana,28.499869,77.316735,2024-08-23,52.22,30.85,39.32,6.7,40.52,46.49,0.89,82.15,2,331,78.2,1.68,170,0.69,Medium,41.8
Guwahati,Assam,26.225252,91.80537,2024-10-06,170.95,116.72,128.39,4.51,40.93,52.6,0.46,40.48,4,1365,86.98,3.05,493,2.86,High,57.17
Howrah,West Bengal,22.497818,88.251096,2024-01-19,76.07,24.44,29.47,5.03,32.7,180.02,0.79,63.15,7,40308,70.97,0.43,12925,7.77,Low,31.02
Mumbai,Maharashtra,19.117698,72.812118,2023-03-22,170.18,113.55,142.36,7.5,62.2,78.63,2.61,42.96,5,3894,88.73,3.68,1100,19.75,High,58.25
Chennai,Tamil Nadu,13.094496,80.270918,2025-06-20,62.5,29.19,40.66,11.25,37.42,53.78,1.01,71.45,4,1260,83.82,0.92,669,1.67,Medium,41.05
Kochi,Kerala,9.966708,76.181722,2025-09-16,30.35,15.14,18.25,4.57,14.21,121.69,2.78,67.35,2,691,75.26,0.63,71,0.16,Low,11.05
Ranchi,Jharkhand,23.272888,85.328672,2023-08-07,195.66,98.63,109.1,5.26,75.87,203.26,0.62,87.92,3,3304,52.77,2.51,2735,17.8,High,56.83
Kota,Rajasthan,25.23725,75.912682,2023-09-19,121.02,51.28,57.69,2.63,42.89,148.84,1.14,61.56,2,2249,87.65,2.05,1288,3.49,Medium,35.59
Solapur,Maharashtra,17.626507,75.983393,2024-09-30,50.71,26.06,33.28,4.78,44.31,135.5,1.47,70.63,3,10035,92.99,1.13,1105,2.71,Low,33.49
Lucknow,Uttar Pradesh,26.866469,80.88642,2023-08-02,118.97,56.74,81.22,3.8,46.32,61.34,2.13,60.25,5,146,22.51,1.32,130,0.4,Medium,38.89
Jodhpur,Rajasthan,26.213604,72.9786,2025-04-27,157.78,60.06,68.08,3.5,37.55,84.26,2.26,61.07,3,137,66.41,1.08,76,0.2,Medium,36.19
Amritsar,Punjab,31.557683,74.814679,2023-01-11,133.96,66.43,96.88,3.72,57.01,303.9,1.12,76.0,5,172,69.58,0.66,14,0.04,Low,29.04
Agra,Uttar Pradesh,27.211349,77.989724,2024-06-24,46.65,34.46,43.27,2.53,32.14,256.2,3.45,40.46,4,758,67.28,1.16,71,0.11,Low,4.42
Delhi,Delhi,28.706774,77.200344,2024-06-15,82.88,56.63,75.51,1.91,24.03,19.88,0.92,83.47,0,4036,56.2,0.93,1125,1.63,Low,32.82
Allahabad,Uttar Pradesh,25.377248,81.888947,2024-07-24,179.37,70.66,79.91,5.41,57.85,105.09,2.12,48.3,3,124,51.17,1.45,87,0.53,Medium,50.96
Howrah,West Bengal,22.60245,88.290952,2025-08-20,72.56,45.96,56.5,0.96,24.38,137.28,0.61,65.93,1,164,79.74,1.08,34,0.18,Low,27.98
Howrah,West Bengal,22.514665,88.313201,2025-09-19,25.22,18.47,24.65,6.56,24.07,54.86,0.05,83.72,2,3805,70.19,1.19,933,4.25,Low,23.81
Madurai,Tamil Nadu,9.940968,78.133697,2025-05-04,225.38,147.07,188.56,5.64,71.33,154.53,0.11,86.95,4,79,64.08,3.67,26,0.39,High,71.68
Madurai,Tamil Nadu,9.915916,78.110774,2024-06-15,194.2,144.3,170.08,6.39,61.25,28.93,5.08,59.05,0,218,88.03,2.57,272,0.78,High,58.37
Jodhpur,Rajasthan,26.277142,73.044908,2025-04-04,114.55,53.05,64.71,3.12,46.34,104.87,0.18,54.3,2,656,93.42,1.02,178,0.67,Medium,36.33
Varanasi,Uttar Pradesh,25.412675,82.907923,2024-05-30,59.4,30.25,38.83,6.38,31.57,39.69,1.66,50.42,2,201,59.43,1.78,129,1.02,Medium,35.25
Indore,Madhya Pradesh,22.628592,75.782971,2024-06-08,55.99,32.27,40.3,4.07,48.22,78.6,1.32,37.45,3,1851,27.39,1.04,719,1.58,Medium,36.62
Meerut,Uttar Pradesh,28.982653,77.687711,2024-12-20,72.46,27.25,34.97,2.16,29.17,186.73,1.63,59.0,1,533,70.71,0.2,147,0.03,Low,19.51
Chandigarh,Chandigarh,30.755288,76.864304,2023-04-21,156.57,90.12,114.93,0.0,50.87,26.97,1.82,80.39,2,5097,84.29,2.32,1371,6.21,High,55.39
Indore,Madhya Pradesh,22.712737,75.912376,2025-08-10,80.09,49.54,66.33,5.23,55.14,152.49,1.63,60.57,3,320,78.64,0.31,50,0.05,Low,33.53
Chennai,Tamil Nadu,13.052783,80.353286,2024-11-06,40.23,21.54,29.4,8.02,17.16,25.03,1.17,74.86,3,122,75.01,0.93,37,0.15,Low,31.51
Faridabad,Haryana,28.320021,77.219176,2024-04-04,128.58,79.22,105.64,1.89,55.84,49.0,2.62,39.31,2,1963,74.56,1.4,281,0.42,Medium,37.9
Faridabad,Haryana,28.495211,77.381996,2024-12-26,213.51,89.68,103.83,6.88,55.55,44.47,0.51,45.45,6,7927,86.92,2.05,5439,55.4,High,67.16
Mumbai,Maharashtra,19.026572,72.893226,2024-11-24,94.14,31.85,40.39,5.07,43.03,88.65,3.6,48.87,3,5831,76.08,1.13,622,2.54,Low,33.02
Bareilly,Uttar Pradesh,28.46123,75.415038,2024-06-09,60.32,45.46,52.85,6.6,45.52,140.56,0.1,28.48,4,826,82.05,0.67,116,0.18,Low,32.2
Indore,Madhya Pradesh,22.765897,75.949324,2024-07-10,12.56,8.97,12.43,1.75,16.51,28.45,2.15,19.51,3,521,69.19,0.46,44,0.09,Low,15.97
Hyderabad,Telangana,17.373115,78.413181,2023-05-30,50.13,24.89,28.38,8.22,40.73,44.55,0.4,78.51,2,140,88.56,1.92,54,0.2,Medium,42.17
Lucknow,Uttar Pradesh,26.91273,81.03585,2025-06-21,63.06,20.51,26.06,2.22,31.55,88.84,0.06,55.07,4,1017,81.09,0.99,87,0.37,Low,30.32
Bangalore,Karnataka,12.889583,77.53325,2024-09-21,128.74,40.86,51.35,0.85,42.0,32.67,0.35,23.46,1,4576,90.44,1.13,2054,10.54,Medium,46.97
Guwahati,Assam,26.103957,91.682199,2025-07-03,130.12,82.33,107.05,4.64,47.13,91.91,0.17,51.18,2,2,94.24,0.84,0,0.0,Medium,49.45
Guwahati,Assam,26.200403,91.63944,2023-11-02,15.49,9.69,11.48,0.0,34.87,131.62,1.84,49.46,2,4304,54.27,0.87,623,0.94,Low,7.22
Agra,Uttar Pradesh,27.262472,77.974494,2024-08-10,162.96,61.17,88.12,9.58,67.89,77.33,2.58,84.84,3,4599,41.4,3.45,5698,67.34,High,67.91
Varanasi,Uttar Pradesh,25.352872,83.009827,2024-06-13,65.02,29.22,42.56,5.86,30.77,123.58,1.17,66.67,1,928,22.85,0.45,120,0.07,Low,22.14
Varanasi,Uttar Pradesh,25.38783,83.065426,2023-10-18,124.85,79.07,90.76,9.57,39.57,23.15,0.3,54.63,4,10875,86.93,1.24,6537,40.24,Medium,52.73
Faridabad,Haryana,28.432735,77.255128,2023-07-07,171.56,102.82,139.95,2.89,46.92,44.89,1.48,68.07,4,945,94.08,2.46,340,3.83,Medium,48.54
Ahmedabad,Gujarat,23.050693,72.564636,2025-07-09,89.08,30.14,35.16,3.89,55.09,98.42,7.39,38.42,4,296,67.86,0.65,15,0.05,Low,17.61
Kota,Rajasthan,25.136829,75.941455,2025-08-04,57.08,18.32,22.82,11.02,21.7,6.21,2.62,63.96,3,2879,39.74,1.0,751,2.34,Medium,37.99
Madurai,Tamil Nadu,9.93837,78.201404,2024-10-19,133.26,106.32,117.4,6.11,60.39,18.15,0.77,87.77,4,145,77.68,2.3,157,0.85,High,59.95
Guwahati,Assam,26.047081,91.681538,2025-01-16,71.73,29.43,39.73,2.11,28.45,69.1,1.17,64.9,6,2531,79.23,0.3,226,0.28,Low,24.72
Varanasi,Uttar Pradesh,25.385047,82.9825,2025-06-08,74.66,58.23,65.18,1.93,22.38,75.36,1.32,56.53,1,1600,62.97,0.15,188,0.1,Low,19.98
Mumbai,Maharashtra,19.042078,72.895543,2024-12-12,59.73,30.33,33.65,3.45,21.34,45.09,2.31,45.71,1,144,64.64,0.29,19,0.02,Low,22.35
Vadodara,Gujarat,22.399832,73.104151,2024-03-04,65.03,38.31,54.9,3.97,52.36,147.84,0.66,51.86,2,546,50.07,1.05,52,0.09,Low,32.04
Dhanbad,Jharkhand,23.787629,86.465552,2024-09-29,87.95,56.95,75.57,3.23,34.75,206.51,1.08,20.94,3,45044,88.78,0.91,9944,13.85,Low,19.96
Allahabad,Uttar Pradesh,25.518192,81.758486,2023-01-28,19.33,9.95,13.94,4.84,14.78,87.54,0.38,51.65,3,241,78.49,0.73,20,0.03,Low,27.13
Coimbatore,Tamil Nadu,10.978083,76.966827,2024-10-07,50.78,37.72,53.81,5.14,37.65,129.21,0.89,65.86,2,590,80.16,0.91,42,0.14,Low,25.19
Chandigarh,Chandigarh,30.644723,76.706926,2023-09-24,58.96,23.78,30.96,1.93,39.38,145.6,1.06,70.89,5,1370,87.18,0.57,402,0.44,Low,19.12
Kochi,Kerala,9.935881,76.351603,2024-01-19,68.99,37.96,51.57,6.0,37.5,75.6,0.13,72.58,6,442,74.49,0.23,85,0.09,Low,33.11
Patna,Bihar,25.583182,85.054451,2024-07-19,154.6,85.89,115.24,8.13,46.66,112.06,2.26,51.06,4,1268,57.06,2.21,935,2.94,Medium,54.61
Patna,Bihar,25.628303,85.177005,2024-02-19,60.62,32.21,35.86,1.21,20.1,70.86,0.53,36.05,5,2172,94.34,0.56,157,0.25,Low,23.22
Allahabad,Uttar Pradesh,25.468429,81.865373,2023-04-03,44.49,32.84,45.61,5.9,30.92,123.45,0.75,42.05,3,4407,85.0,0.88,461,0.52,Low,17.32
Varanasi,Uttar Pradesh,25.3598,82.9208,2024-03-14,119.6,56.05,80.21,3.81,37.0,9.9,1.42,65.76,5,155,95.03,0.44,13,0.01,Low,32.01
Kochi,Kerala,9.916831,76.179585,2025-04-07,57.25,44.52,53.37,6.59,10.69,77.9,6.13,65.5,2,184,73.83,0.29,25,0.02,Low,26.6
Mumbai,Maharashtra,19.143284,72.878193,2023-09-30,162.34,126.27,187.06,4.76,43.95,20.08,1.57,82.0,4,197,81.64,2.09,78,0.78,High,56.52
Delhi,Delhi,28.756803,77.024237,2024-08-21,75.45,57.83,77.18,0.16,56.1,243.37,2.39,60.11,5,14275,78.46,0.94,2391,6.45,Low,19.26
Delhi,Delhi,28.679745,77.105959,2023-01-13,161.77,61.61,91.57,2.47,50.84,21.81,0.17,77.88,0,646,62.91,2.06,386,2.56,Medium,52.06
Kota,Rajasthan,25.289123,75.910574,2024-12-24,68.53,48.38,59.83,6.19,32.35,129.94,0.1,94.2,5,740,82.34,1.03,154,0.76,Low,29.34
Ahmedabad,Gujarat,22.990344,72.580319,2024-02-12,64.78,27.6,35.3,7.12,52.36,44.03,0.41,92.67,6,1697,81.55,1.15,176,0.99,Medium,43.23
Indore,Madhya Pradesh,22.686332,75.835239,2023-10-31,35.02,18.04,21.04,5.04,34.61,87.27,2.09,50.12,4,365,76.64,0.69,56,0.07,Low,19.07
Guwahati,Assam,26.194103,91.803506,2024-02-26,101.84,69.37,92.72,7.51,42.07,14.93,2.59,58.77,2,25,75.4,1.93,12,0.07,Medium,47.92
Pune,Maharashtra,18.476327,73.783974,2025-01-09,110.27,63.56,88.75,5.13,34.31,14.94,0.85,54.07,1,5652,53.22,0.95,4194,13.7,Medium,45.85
Gwalior,Madhya Pradesh,26.215,78.16863,2025-08-09,67.05,42.03,52.12,10.91,28.06,94.42,3.14,92.24,3,95,95.65,2.3,25,0.29,Medium,40.17
Delhi,Delhi,28.798115,77.175514,2025-07-31,87.36,65.79,91.94,0.45,31.02,43.8,1.09,49.68,1,86,92.85,1.05,9,0.02,Low,27.33
Nashik,Maharashtra,20.012633,73.715023,2025-07-24,124.23,52.96,67.63,7.1,36.23,37.09,1.29,78.44,2,230,74.39,1.15,147,0.84,Medium,52.47
Jabalpur,Madhya Pradesh,23.194583,79.890602,2024-02-13,8.75,3.51,5.21,3.57,8.49,206.32,1.12,50.81,1,89,83.45,0.15,11,0.0,Low,11.19
Allahabad,Uttar Pradesh,25.422706,81.920207,2024-10-19,95.3,34.84,49.43,10.4,64.77,61.09,5.16,70.97,4,63,94.98,2.08,21,0.19,Medium,45.08
Hubli,Karnataka,15.408152,75.140414,2024-01-02,59.93,39.42,58.7,12.32,30.44,145.53,1.11,72.42,2,2540,89.3,0.82,454,1.59,Medium,36.01
Jaipur,Rajasthan,26.903746,75.753146,2023-08-19,101.74,54.79,68.79,3.82,35.26,39.77,0.04,54.12,1,119,73.3,2.32,43,0.47,Medium,43.87
Chandigarh,Chandigarh,30.735092,76.769965,2024-11-24,65.67,50.65,71.68,6.19,49.54,60.17,2.62,49.07,3,681,68.82,0.69,210,0.27,Low,27.24
Coimbatore,Tamil Nadu,10.974302,76.963444,2023-03-22,76.32,49.87,67.91,4.0,28.8,95.32,0.82,16.33,1,252,91.15,0.37,66,0.09,Low,30.73
